segment_id,lat_cell,lon_cell,detections
0,-8.7,-70.7,15
0,-2.7,-49.4,3
0,-2.8,-46.0,5
0,-15.9,-44.9,6
0,-14.4,24.6,61
0,-10.2,-40.3,4
0,-17.7,-61.1,1
0,-11.0,36.2,28
0,-8.7,31.1,6
0,6.8,39.4,2
0,31.3,76.1,1
0,-23.7,-55.9,3
0,37.1,-7.9,1
0,-6.7,16.6,117
0,8.0,-65.9,1
0,-14.2,16.1,243
0,52.8,-106.3,1
0,-28.3,-60.9,22
0,16.5,76.5,6
0,25.2,49.3,25
0,-8.9,33.8,53
0,-15.1,24.8,179
0,-3.7,-51.2,5
0,35.9,6.7,5
0,18.4,-103.0,6
0,-24.0,148.1,3
0,-11.5,26.6,220
0,33.7,-111.0,157
0,-28.9,-57.1,3
0,57.3,-96.2,2
0,-19.4,-57.6,13
0,-18.9,32.4,53
0,9.7,34.6,1
0,49.3,1.5,2
0,4.6,-68.5,4
0,26.4,-107.8,78
0,-18.3,46.7,100
0,52.3,42.8,3
0,-6.8,-47.4,5
0,-16.3,32.8,8
0,-6.9,-70.4,2
0,-16.4,-48.2,10
0,18.1,-92.9,28
0,-7.6,29.6,128
0,-19.2,16.4,11
0,10.4,-11.8,1
0,-7.4,-77.6,4
0,-11.2,35.8,51
0,23.8,78.9,4
0,7.0,30.9,1
0,42.9,-96.6,1
0,-8.7,-40.7,9
0,17.0,106.9,2
0,43.3,-94.3,3
0,-16.4,127.9,18
0,-3.4,115.2,8
0,-1.2,112.1,4
0,2.8,113.0,4
0,-33.9,117.9,1
0,20.3,-105.6,1
0,22.5,104.0,1
0,-11.4,-66.1,5
0,9.5,30.7,17
0,-9.3,32.5,148
0,-16.4,15.3,6
0,-24.0,32.7,2
0,34.6,113.8,8
0,49.0,24.0,1
0,-10.0,-47.0,29
0,30.6,-94.4,6
0,-12.2,-42.6,6
0,43.9,132.2,7
0,33.8,-117.0,19
0,4.3,27.9,1
0,-19.3,47.6,2
0,11.2,-72.6,18
0,19.8,-155.8,5
0,-20.4,33.8,62
0,-23.5,-54.1,1
0,36.7,-120.2,4
0,15.1,100.2,6
0,10.8,29.0,4
0,26.5,76.7,4
0,11.1,77.6,3
0,7.7,-2.4,17
0,8.4,80.7,34
0,-15.7,-68.1,3
0,32.4,-94.6,1
0,-15.2,132.2,51
0,-11.7,-48.4,7
0,-19.5,-45.3,3
0,42.2,19.5,12
0,-33.0,-60.1,1
0,-34.8,135.7,10
0,-1.9,-46.6,2
0,-22.6,150.3,13
0,-12.4,27.9,272
0,-18.3,131.5,63
0,42.1,19.0,13
0,6.5,-2.3,7
0,-23.5,-56.2,3
0,34.4,109.1,6
0,-7.4,-46.1,15
0,-13.4,38.6,145
0,-22.8,-55.9,20
0,-15.2,127.6,221
