model,target,segment_id,threshold_validation,train_rows,validation_rows,test_rows,train_end,validation_period,test_period,training_seconds,evaluation,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,brier,specificity,false_positive_rate,false_negative_rate
random_forest,fire_next_7d,0,0.37999999999999995,51802,23609,26358,2025-07-27,2025-08-04:2025-08-24,2025-09-01:2025-09-21,0.6455058749997988,test_temporale_isolato_con_embargo_7d,0.7310114576219744,0.6935603018445519,0.7153857922382579,0.902877003282487,0.7982700734080692,0.8158511791733286,0.8616794680288873,0.4363310613031659,0.17206939736674015,0.48424360040661674,0.5157563995933833,0.09712299671751304
regressione_logistica,fire_next_7d,0,0.41999999999999993,51802,23609,26358,2025-07-27,2025-08-04:2025-08-24,2025-09-01:2025-09-21,0.23515545800182736,test_temporale_isolato_con_embargo_7d,0.6636315350178315,0.5983279777924965,0.6433821949017754,0.9633133809615756,0.7714948453608247,0.8133755073289521,0.8587315731970205,0.3005115701183672,0.1972346495133368,0.23334257462341743,0.7666574253765825,0.036686619038424406
albero_decisionale,fire_next_7d,0,0.33999999999999997,51802,23609,26358,2025-07-27,2025-08-04:2025-08-24,2025-09-01:2025-09-21,0.34416158399835695,test_temporale_isolato_con_embargo_7d,0.7129903634570149,0.6682181381275412,0.6937961882535978,0.9184527257514321,0.7904722337626368,0.8026718546128387,0.8459452194044569,0.3997466060626013,0.18017245274133753,0.4179835505036503,0.5820164494963497,0.08154727424856793
regressione_polinomiale,fire_next_7d,0,0.41999999999999993,51802,23609,26358,2025-07-27,2025-08-04:2025-08-24,2025-09-01:2025-09-21,1.7262317089989665,test_temporale_isolato_con_embargo_7d,0.6720160861977388,0.6181749196169248,0.6590363669928004,0.919096350646843,0.7676387582314205,0.7619965485741377,0.7865338392789611,0.30400222189907783,0.20764515877653028,0.31725348858700675,0.6827465114129933,0.08090364935315698
svm_rbf_approssimata,fire_next_7d,0,0.57,51802,23609,26358,2025-07-27,2025-08-04:2025-08-24,2025-09-01:2025-09-21,0.5393562080062111,test_temporale_isolato_con_embargo_7d,0.427194779573564,0.37992037359008096,0.511212136691015,0.6441397953272833,0.570029048242866,0.338617496103827,0.5040047294905565,-0.2702692662109,0.3189241600712685,0.11570095185287867,0.8842990481471213,0.35586020467271673
